,episode,missed,reward,sloth
0,0,17.0,-19618.0,-11118
1,1,15.0,-16842.0,-9342
2,2,16.0,-18069.0,-10069
3,3,18.0,-15546.0,-6546
4,4,14.0,-15733.0,-8733
5,5,15.0,-16842.0,-9342
6,6,18.0,-15490.0,-6490
7,7,17.0,-18246.0,-9746
8,8,12.0,-11182.0,-5182
9,9,14.0,-14606.0,-7606
10,10,11.0,-10629.0,-5129
11,11,8.0,-12062.0,-8062
12,12,4.0,-8007.0,-6007
13,13,1.0,-6529.0,-6029
14,14,6.0,-8864.0,-5864
15,15,3.0,-7091.0,-5591
16,16,5.0,-8474.0,-5974
17,17,2.0,-6495.0,-5495
18,18,3.0,-6948.0,-5448
19,19,4.0,-6929.0,-4929
20,20,2.0,-6417.0,-5417
21,21,9.0,-15014.0,-10514
22,22,6.0,-7987.0,-4987
23,23,6.0,-7982.0,-4982
24,24,4.0,-6619.0,-4619
25,25,4.0,-7405.0,-5405
26,26,4.0,-6243.0,-4243
27,27,5.0,-7902.0,-5402
28,28,6.0,-8648.0,-5648
29,29,3.0,-6597.0,-5097
30,30,2.0,-5170.0,-4170
31,31,2.0,-6468.0,-5468
32,32,3.0,-7384.0,-5884
33,33,2.0,-6448.0,-5448
34,34,7.0,-7975.0,-4475
35,35,4.0,-7453.0,-5453
36,36,3.0,-6564.0,-5064
37,37,6.0,-8260.0,-5260
38,38,4.0,-7014.0,-5014
39,39,2.0,-6611.0,-5611
40,40,2.0,-6931.0,-5931
41,41,5.0,-7416.0,-4916
42,42,3.0,-11714.0,-10214
43,43,5.0,-7138.0,-4638
44,44,3.0,-6827.0,-5327
45,45,7.0,-8376.0,-4876
46,46,3.0,-6416.0,-4916
47,47,4.0,-7139.0,-5139
48,48,3.0,-6895.0,-5395
49,49,4.0,-7934.0,-5934
50,50,7.0,-8778.0,-5278
51,51,3.0,-7231.0,-5731
52,52,5.0,-6870.0,-4370
53,53,2.0,-5330.0,-4330
54,54,2.0,-6144.0,-5144
55,55,2.0,-6501.0,-5501
56,56,4.0,-7726.0,-5726
57,57,2.0,-5821.0,-4821
58,58,3.0,-6046.0,-4546
59,59,9.0,-13486.0,-8986
60,60,3.0,-6570.0,-5070
61,61,9.0,-9928.0,-5428
62,62,7.0,-7763.0,-4263
63,63,6.0,-8262.0,-5262
64,64,3.0,-6709.0,-5209
65,65,8.0,-8889.0,-4889
66,66,5.0,-6798.0,-4298
67,67,6.0,-7686.0,-4686
68,68,3.0,-7584.0,-6084
69,69,4.0,-7510.0,-5510
70,70,4.0,-6623.0,-4623
71,71,4.0,-7711.0,-5711
72,72,3.0,-6765.0,-5265
73,73,3.0,-6521.0,-5021
74,74,2.0,-6761.0,-5761
75,75,3.0,-6159.0,-4659
76,76,2.0,-6563.0,-5563
77,77,6.0,-7899.0,-4899
78,78,4.0,-7283.0,-5283
79,79,4.0,-6789.0,-4789
80,80,4.0,-7575.0,-5575
81,81,7.0,-12075.0,-8575
82,82,5.0,-7030.0,-4530
83,83,2.0,-5826.0,-4826
84,84,5.0,-7858.0,-5358
85,85,2.0,-6650.0,-5650
86,86,3.0,-5885.0,-4385
87,87,5.0,-6662.0,-4162
88,88,4.0,-6332.0,-4332
89,89,8.0,-8538.0,-4538
90,90,3.0,-6677.0,-5177
91,91,2.0,-6044.0,-5044
92,92,2.0,-6353.0,-5353
93,93,3.0,-6795.0,-5295
94,94,1.0,-4670.0,-4170
95,95,2.0,-6511.0,-5511
96,96,8.0,-9095.0,-5095
97,97,2.0,-7200.0,-6200
98,98,1.0,-5489.0,-4989
99,99,1.0,-6216.0,-5716
100,100,6.0,-7912.0,-4912
101,101,4.0,-6636.0,-4636
102,102,3.0,-6575.0,-5075
103,103,2.0,-5694.0,-4694
104,104,3.0,-6481.0,-4981
105,105,2.0,-6901.0,-5901
106,106,0.0,-4788.0,-4788
107,107,6.0,-11467.0,-8467
108,108,3.0,-7208.0,-5708
109,109,6.0,-7433.0,-4433
110,110,4.0,-6150.0,-4150
111,111,4.0,-7395.0,-5395
112,112,3.0,-7477.0,-5977
113,113,6.0,-8864.0,-5864
114,114,2.0,-6047.0,-5047
115,115,5.0,-7459.0,-4959
116,116,7.0,-9319.0,-5819
117,117,1.0,-6842.0,-6342
118,118,2.0,-6060.0,-5060
119,119,2.0,-5609.0,-4609
120,120,2.0,-7605.0,-6605
121,121,3.0,-6991.0,-5491
122,122,3.0,-7667.0,-6167
123,123,3.0,-7171.0,-5671
124,124,2.0,-5393.0,-4393
125,125,3.0,-6922.0,-5422
126,126,3.0,-7943.0,-6443
127,127,3.0,-7003.0,-5503
128,128,2.0,-5688.0,-4688
129,129,1.0,-5186.0,-4686
130,130,3.0,-6143.0,-4643
131,131,2.0,-6954.0,-5954
132,132,2.0,-6530.0,-5530
133,133,2.0,-5739.0,-4739
134,134,1.0,-7186.0,-6686
135,135,3.0,-8013.0,-6513
136,136,0.0,-8089.0,-8089
137,137,5.0,-7700.0,-5200
138,138,2.0,-7448.0,-6448
139,139,3.0,-6188.0,-4688
140,140,3.0,-7101.0,-5601
141,141,4.0,-7516.0,-5516
142,142,4.0,-6408.0,-4408
143,143,7.0,-11040.0,-7540
144,144,2.0,-5017.0,-4017
145,145,7.0,-8833.0,-5333
146,146,0.0,-4042.0,-4042
147,147,2.0,-5478.0,-4478
148,148,4.0,-6493.0,-4493
149,149,5.0,-8115.0,-5615
150,150,7.0,-9759.0,-6259
151,151,6.0,-8488.0,-5488
152,152,3.0,-6860.0,-5360
153,153,3.0,-7233.0,-5733
154,154,5.0,-8577.0,-6077
155,155,4.0,-7280.0,-5280
156,156,5.0,-7299.0,-4799
157,157,3.0,-7918.0,-6418
158,158,1.0,-5657.0,-5157
159,159,3.0,-7274.0,-5774
160,160,4.0,-6550.0,-4550
161,161,3.0,-10682.0,-9182
162,162,5.0,-7506.0,-5006
163,163,4.0,-7402.0,-5402
164,164,4.0,-7167.0,-5167
165,165,2.0,-7184.0,-6184
166,166,4.0,-6177.0,-4177
167,167,8.0,-8649.0,-4649
168,168,4.0,-6233.0,-4233
169,169,7.0,-8734.0,-5234
170,170,4.0,-7139.0,-5139
171,171,3.0,-7892.0,-6392
172,172,3.0,-6695.0,-5195
173,173,3.0,-6778.0,-5278
174,174,5.0,-8041.0,-5541
175,175,5.0,-7810.0,-5310
176,176,5.0,-8373.0,-5873
177,177,1.0,-5114.0,-4614
178,178,3.0,-7948.0,-6448
179,179,4.0,-6936.0,-4936
180,180,6.0,-7946.0,-4946
181,181,1.0,-6650.0,-6150
182,182,1.0,-6228.0,-5728
183,183,3.0,-6674.0,-5174
184,184,4.0,-9991.0,-7991
185,185,5.0,-8872.0,-6372
186,186,2.0,-5679.0,-4679
187,187,4.0,-7107.0,-5107
188,188,1.0,-6110.0,-5610
189,189,1.0,-5352.0,-4852
190,190,4.0,-7335.0,-5335
191,191,1.0,-6760.0,-6260
192,192,2.0,-6781.0,-5781
193,193,4.0,-6571.0,-4571
194,194,3.0,-6113.0,-4613
195,195,7.0,-9289.0,-5789
196,196,1.0,-7494.0,-6994
197,197,1.0,-6279.0,-5779
198,198,0.0,-4708.0,-4708
199,199,4.0,-7377.0,-5377
200,200,2.0,-5936.0,-4936
201,201,2.0,-6533.0,-5533
202,202,6.0,-8929.0,-5929
203,203,6.0,-7836.0,-4836
204,204,2.0,-6285.0,-5285
205,205,3.0,-6597.0,-5097
206,206,3.0,-7296.0,-5796
207,207,1.0,-5535.0,-5035
208,208,5.0,-8040.0,-5540
209,209,5.0,-7913.0,-5413
210,210,1.0,-5670.0,-5170
211,211,3.0,-7008.0,-5508
212,212,3.0,-7263.0,-5763
213,213,3.0,-6622.0,-5122
214,214,3.0,-6620.0,-5120
215,215,3.0,-7374.0,-5874
216,216,6.0,-7580.0,-4580
217,217,3.0,-6394.0,-4894
218,218,2.0,-6362.0,-5362
219,219,4.0,-7037.0,-5037
220,220,2.0,-6984.0,-5984
221,221,2.0,-6591.0,-5591
222,222,4.0,-7751.0,-5751
223,223,3.0,-9299.0,-7799
224,224,4.0,-10119.0,-8119
225,225,3.0,-6401.0,-4901
226,226,4.0,-7776.0,-5776
227,227,5.0,-8980.0,-6480
228,228,2.0,-5924.0,-4924
229,229,3.0,-5995.0,-4495
230,230,5.0,-8011.0,-5511
231,231,4.0,-7090.0,-5090
232,232,5.0,-7392.0,-4892
233,233,1.0,-6777.0,-6277
234,234,2.0,-6658.0,-5658
235,235,2.0,-6094.0,-5094
236,236,2.0,-6605.0,-5605
237,237,2.0,-7991.0,-6991
238,238,7.0,-9138.0,-5638
239,239,5.0,-8386.0,-5886
240,240,4.0,-6673.0,-4673
241,241,7.0,-8910.0,-5410
242,242,4.0,-6496.0,-4496
243,243,4.0,-6798.0,-4798
244,244,9.0,-10291.0,-5791
245,245,4.0,-6783.0,-4783
246,246,3.0,-6278.0,-4778
247,247,5.0,-8194.0,-5694
248,248,7.0,-9472.0,-5972
249,249,8.0,-10776.0,-6776
250,250,5.0,-8191.0,-5691
251,251,3.0,-6782.0,-5282
252,252,2.0,-6894.0,-5894
253,253,1.0,-5301.0,-4801
254,254,1.0,-5414.0,-4914
255,255,3.0,-5961.0,-4461
256,256,3.0,-7263.0,-5763
257,257,3.0,-6760.0,-5260
258,258,8.0,-9839.0,-5839
259,259,3.0,-7016.0,-5516
260,260,3.0,-8078.0,-6578
261,261,4.0,-7322.0,-5322
262,262,2.0,-7675.0,-6675
263,263,2.0,-6199.0,-5199
264,264,3.0,-6397.0,-4897
265,265,2.0,-6070.0,-5070
266,266,1.0,-5168.0,-4668
267,267,5.0,-7813.0,-5313
268,268,2.0,-6838.0,-5838
269,269,2.0,-5556.0,-4556
270,270,1.0,-5745.0,-5245
271,271,3.0,-6690.0,-5190
